name,ring,index,original,width,height,focal_mm,f_number,lens,iso,exposure_s,sha256
mid_031.jpg,mid,31,data/Middle ring/30.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.01694915254237288,359df82ea139a95b71cd196fe37b3aa8d68d3f39dd9091f446ce51455a332cb2
mid_032.jpg,mid,32,data/Middle ring/31.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,320,0.020833333333333332,4e0977abe1e59ba2520eed78feba63afe9f22aff0338d3c9d6f22e98365b23ff
mid_033.jpg,mid,33,data/Middle ring/32.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,320,0.020833333333333332,d0cfb7421732f7412db7b43150ff370cddb6e23d3e2cb1e2cb4de021df867524
mid_034.jpg,mid,34,data/Middle ring/33.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.020833333333333332,fde2c060eef17c1a45947bb5a17cbdf6cc08a4c3467ae8310e66939c69234bbc
mid_035.jpg,mid,35,data/Middle ring/34.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.020833333333333332,c1479be92613acae8e769e5d2531a878ee5191cc5969ac4b338a3cd32e4fe9fe
mid_036.jpg,mid,36,data/Middle ring/35.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.020833333333333332,f30572f9df32b0fb2a79617502aa180fa240cbe616d4cec3cd936610504edc86
mid_037.jpg,mid,37,data/Middle ring/36.jpeg,4032,3024,2.22,2.2,iPhone 15 Pro Max back triple camera 2.22mm f/2.2,400,0.020833333333333332,9d32d59faf38d1a3433e7e23f94b688e6322bf635161ae4a836deb3c616d0fc1
top_001.jpg,top,1,data/Top/1.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,250,0.01694915254237288,15fc225907b99d952a2bd178ed872eb3cdbcdb6fe9014a192eb67a65a3982ace
top_002.jpg,top,2,data/Top/2.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,d2e2f178022b9c5137d940976439972c5bb6ad49cf9852ad4723a2974f4a77fa
top_003.jpg,top,3,data/Top/3.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,93274f99e2326cf97225944f9890041840606698fa319bd1873539b78c6c60d7
top_004.jpg,top,4,data/Top/4.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,253c8a0f2827a2c6b8ffea02a93db88ffb648be0a0a19afd2fbcdfbee92c6ade
top_005.jpg,top,5,data/Top/5.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,588f83a22422ea15ca28352a0baaa9b24c9f940c44c96b6a84ec811e95850622
top_006.jpg,top,6,data/Top/6.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,400,0.01694915254237288,a3d54e30810fb5b9270e7e46fbe050a17297a36620d6ef11a88186977c53d9ed
top_007.jpg,top,7,data/Top/7.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,74210ba9544d232e9f115d06cabeb4c18fb1c20f000bbeb9d136964eb40860bb
top_008.jpg,top,8,data/Top/8.jpeg,5712,4284,6.765,1.78,iPhone 15 Pro Max back triple camera 6.765mm f/1.78,320,0.01694915254237288,e0e94058c596810f9ba0ffe495044834b931aebe97ea19f9bf161136e30f40d3
